"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"ability",0.00539774837664951,0.00102925003833451,0.0111564215357794,0.00201941267394355,0.00236379225418343
"able",0.00247731170621288,0.000375640861124519,0.00673569965810813,0.00141208582768974,0.000854392274668958
"abnormal",3.47949797702997e-08,7.43195709340069e-17,2.01386090537588e-36,7.21706064911388e-43,5.7756434283794e-05
"accomplish",0.00018473007793565,0.000465515292011578,1.52739595761133e-15,0.00136825521227002,2.27012571598734e-06
"address",7.39911354733129e-05,0.000160288679826594,5.10426365578774e-09,0.000174618479666293,0.000364835439927012
"air",1.96479481599321e-05,4.1589264237219e-06,9.80928874736189e-24,1.60126736798426e-26,7.81326256848383e-05
"applicants",4.6924447706099e-05,2.09406325143624e-18,4.43779790671908e-24,0.00036176571206267,0.00264777207437471
"approaches",0.000115743921071832,0.000203022667852853,3.83472637307026e-13,0.000274811419905917,0.00041212481584815
"areas",0.00103867206594901,0.000810600300289558,1.70031304131482e-17,0.000602865583072456,0.00113272902167016
"arise",0.000120084829106035,0.000335283562348044,2.58529286966766e-12,4.35833369422202e-05,2.34995197774137e-05
"associates",0.000497084996113803,3.44756862643221e-20,2.90975059889182e-19,4.88641326360091e-24,0.000165368827456206
"ats",1.17084405706803e-14,7.18159635929942e-14,1.38736628728065e-24,1.46449291228082e-36,7.9489365532521e-05
"aug",3.68674745842188e-05,7.80161578274189e-05,7.5638876625221e-06,5.47877664069726e-05,3.30628631453996e-06
"becoming",0.000137626788277609,0.000560801886650676,5.9703678289409e-14,0.00134686787699428,4.27204923923143e-05
"bring",0.000350864542331226,0.00256330819408242,5.55519205186653e-15,0.00187036494059322,0.000148036729766618
"building",0.000263652123669579,0.000304018809085266,5.80363124776742e-15,0.00385495686849131,0.000978651457710717
"bus",3.32643038809769e-23,0.000465108180704508,7.47130491656731e-13,6.28369164029883e-26,3.35484055624397e-06
"call",0.00040306841125505,2.56264012639572e-28,1.96157305390496e-05,0.00029730426238844,2.09799293485964e-05
"center",0.00240513611136942,0.000445866431568913,4.89951853539586e-13,0.000132526585738999,0.000510871712017025
"centers",0.000480682152974279,1.68553333046205e-17,2.40598111940172e-16,7.75656784048163e-05,0.000426877586888545
"certification",0.000658848958676102,6.19015153404755e-05,2.26097747735775e-16,6.24666221210704e-09,0.000289300665629776
"characteristics",2.63976763603762e-21,0.000241356250718863,2.15245390668654e-26,2.04696082145746e-06,8.22402446528402e-05
"chillers",2.33989254945376e-15,3.21490596070875e-14,7.06000570493233e-24,2.77002912572884e-37,7.94893655907406e-05
"combination",4.74366542040853e-05,0.000106762645645269,1.67756727576826e-15,0.000217085855865616,0.000342730748870594
"communicate",0.00198680316712811,0.000911181442055842,1.47748084894252e-13,0.000511391785571792,0.000396621039528483
