"","V1","V2","V3","V4","V5"
"ability",-5.22177337965407,-6.87892486006917,-4.49574002436429,-6.20494856532008,-6.04748806224088
"able",-6.000581296177,-7.88687702761083,-5.00033359060919,-6.56268735727557,-7.06512013161926
"abnormal",-17.1737927200465,-37.1381573526277,-82.1930096197393,-97.034711241043,-9.7592757985991
"accomplish",-8.5966148365043,-7.67236561106368,-34.1152120980236,-6.59421891850477,-12.9956753465122
"address",-9.51156526283678,-8.73853411951616,-19.0931896355399,-8.6529070801463,-7.91606415556002
"air",-10.837537644443,-12.3902535882179,-52.9787124637256,-59.3964169971589,-9.4571028459052
"applicants",-9.96697174527649,-40.7074253558662,-53.7718839454004,-7.92451375991235,-5.93403671924392
"approaches",-9.06413038411499,-8.50219292085671,-28.5895081265654,-8.19942544132556,-7.79418430340742
"areas",-6.86981224137315,-7.1177354733167,-38.6131342048388,-7.41381629973038,-6.78312549441181
"arise",-9.0273121557079,-8.00053392940974,-26.6811823185761,-10.0408356608831,-10.6585305720266
"associates",-7.60674952815198,-44.8140326232495,-42.6810493942245,-53.6755836814275,-8.70733226075359
"ats",-32.0784663969052,-30.2646696094048,-54.9346350393899,-82.511554300197,-9.4398873121381
"aug",-10.2081808432033,-9.45859460109404,-11.7921252588751,-9.8120436296809,-12.6196849577964
"becoming",-8.8909649691631,-7.48614285803651,-30.4493827635222,-6.60997347322868,-10.0608318373414
"bring",-7.95511032826867,-5.96645659143082,-32.8240433996235,-6.28162171175854,-8.81805014089149
"building",-8.24088003713846,-8.09842098648104,-32.7802925960616,-5.55839546048824,-6.92933499750506
"bus",-51.7575573653522,-7.6732405327586,-27.9225365374078,-58.0292547692639,-12.6051063128893
"call",-7.81640425544903,-63.5313445773923,-10.8391787350988,-8.12075449106858,-10.7719443225615
"center",-6.03014878186186,-7.71549113158473,-28.3444692667161,-8.92872728557815,-7.57939205208386
"centers",-7.6403043109134,-38.6218645505806,-35.9634037176807,-9.46438551721128,-7.75901326759657
"certification",-7.32501624749168,-9.68996589811334,-36.0255642560217,-18.8912185619144,-8.14804404515602
"characteristics",-47.3835960562428,-8.32923649721298,-59.1006038746053,-13.0991543909615,-9.40586578139754
"chillers",-33.6886713856322,-31.0683931948232,-53.3075963722882,-84.1767906059322,-9.43988731140568
"combination",-9.95611533265728,-9.14490245249419,-34.0214317010713,-8.435217633522,-7.97856540777878
"communicate",-6.22122838064733,-7.00076851252702,-29.5432677005071,-7.57837455786468,-7.83252929354164
"conditions",-8.34427360408292,-8.84244718706262,-46.3730413574328,-9.90773774978733,-11.0634003798504
"consistent",-7.56185756889754,-21.5628802624937,-38.8914214413128,-10.041420684231,-8.71145581993535
"contractors",-7.77208056122353,-9.51646468419209,-13.546315993439,-21.0526184206015,-9.81851552968071
"control",-7.99964653629693,-6.37410463900879,-42.8384326785443,-8.23356253965216,-9.58035423813108
"costs",-7.45424174867852,-31.3054599651375,-38.73908067043,-59.0411464242883,-10.3062942273931
"crac",-12.8777709850961,-18.0796446956646,-64.4758225785005,-63.8657892788609,-12.638134665253
"creative",-6.61183610024918,-7.5940587908625,-26.9997506816296,-6.53548409617772,-7.89048903685347
"critical",-6.86798966014296,-6.7817697573426,-39.4021432972425,-6.5007457373011,-6.6347900561509
"customer",-5.74143194012456,-7.06515554150259,-4.64984717676897,-6.04418500562719,-5.49292357638575
"data",-5.2749789899193,-5.21102902803921,-42.265195648239,-4.27177988366736,-3.35840938101886
"dedication",-9.00239866410726,-7.6812484506524,-33.601675124463,-6.62328492062908,-12.3236682236963
"degree",-5.31876233551871,-6.42679557518604,-35.7681585079763,-5.87105711383782,-6.06247480218005
"deliver",-6.26626924631991,-6.90101985019324,-25.0931379044834,-6.00813454547546,-6.85615050656703
"demands",-10.0243899815135,-9.39062701441301,-51.6593036725621,-9.53910229798141,-7.71362544071885
"develops",-8.37983348972998,-6.58843627754014,-26.1456590700828,-9.16344953826709,-8.11061183953173
"direction",-7.21539784268169,-8.75100443905186,-40.3716844068688,-8.25152660247761,-7.90743620424042
"effectively",-6.44418706496727,-7.79007972765491,-5.48688471939126,-7.73018745898365,-7.88585555036302
"efficiency",-7.25453335118205,-7.61351758449093,-33.6475753616349,-9.44151125023047,-8.0508849423274
"electrical",-26.7183615182288,-5.45769548514347,-35.3233109104839,-8.50684172350758,-16.2875065034908
"engineering",-5.85686165453793,-4.28032330296787,-30.3403737117687,-4.87011827721281,-6.1766034526469
"ensure",-5.5573991542373,-5.87082385253605,-36.8087673915516,-7.1123742130592,-7.16984186512137
"environment",-5.65234866920194,-6.2120042288054,-5.41989925107036,-5.94042748273507,-6.75448195647032
"equivalent",-6.7397938752941,-6.44644433537037,-26.2345139750414,-5.36623690311296,-7.06982024962466
"excellent",-6.27528755533002,-7.2684240887475,-5.61659591922886,-6.10306955799912,-7.8202966650873
"experience",-4.79631114507936,-5.05449482445395,-5.56665880971435,-4.02013210326883,-4.5522006522946
"experienced",-6.77419828550039,-8.60024902809196,-26.2412131689095,-6.67773620264598,-7.68884923797507
"experiences",-8.81417260768699,-7.18944668115677,-30.6269949157684,-6.05036978320208,-7.04001910932689
"facilities",-7.81821647130669,-6.7979739446526,-45.975069870651,-36.6118585558539,-9.48456615206913
"feeders",-103.083231208671,-46.0041924556438,-53.1295570705644,-122.384092256028,-9.47065896958142
"field",-6.38943697401244,-7.00569767901558,-35.2284699188185,-6.13922164363648,-6.18691861941507
"generators",-52.1510418959184,-9.78589176873471,-50.8861893666321,-68.6171770278212,-9.74624043734114
"given",-8.85463899656479,-9.39057483079591,-39.722946294852,-8.46733369502235,-8.65085759769483
"good",-7.77389323688308,-7.29374004844627,-24.4063367153552,-6.97958466925727,-7.67769280225891
"great",-7.71883975698365,-6.80216371475516,-4.99437615450472,-5.56161734295122,-7.34025019405634
"handlers",-103.222761585577,-48.1864091556139,-52.5027558737272,-82.6343676931064,-9.43988731091466
"handling",-8.43344915025447,-7.35213038454109,-44.5954264394669,-9.82464268769506,-10.2098593393714
"headquarters",-27.9452808743682,-47.5726877228045,-53.3103642264715,-52.6102933319045,-8.60566153828773
