"","ID.Title","job_total","joboverviewoverview_total"
"job1","883210	data scientist sunnyvale ca""","Ph.D. in computer science or similar field or MS with 2+ years of related experienceDeep knowledge of machine learning, information retrieval, data mining, statistics, NLP or related field.Good functional coding skills in C++, Java, Scala in addition to good knowledge of one of the scripting languages such as Python or Perl.Experience working with large data sets and distributed computing tools a plus (Map/Reduce, Hadoop, Hive, Spark etc.)Superior ability to analyze and interpret the results of product experiments.Proven experience working with statistical languages such as R.Strong communication skills both written and verbal","    A Data Scientist is responsible for analyzing large data sets to develop custom models and algorithms to drive business solutions. Data Scientists work on project teams in order to provide analytical support to projects (for example, email targeting, business optimization, consumer recommendations) for Walmart eCommerce. Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics. Those algorithms will be tested, validated, and applied to large data sets. Data Scientists are responsible for training the algorithms so they can be applied to future data sets and provide the appropriate search results. Data Scientists are responsible for researching new trends in the industry and utilizing up-to-date technology (for example, HBase, MapReduce, LAPack, Gurobi) and analytical skills to support their assigned project.Build complex data sets from multiple data sources, both internally and externally.Build learning systems to analyze and filter continuous data flows and offline data analysis.Combine data features to determine search models.Conduct advanced statistical analysis to determine trends and significant data relationships.Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelop custom data models to drive innovative business solutions.Develop models of current state in order to determine needed improvements.Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityProvides and supports the implementation of business solutionsResearch new techniques and best practices within the industry.Scale new algorithms to large data sets.Train algorithms to apply models to new data sets.Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).Validate models and algorithmic techniques.Work with cross-functional partners across the business "
"job2","956279	senior platform engineer predictive analytics platform sunnyvale ca""","3+ years of experience developing scalable, high performing services and applications• Strong experience of the Java programming language, RDBMS, and NoSQL.• Expert knowledge of J2EE and Web service technologies• Expert knowledge of design, implement, and consume RESTful APIs • Expertise in object-oriented design and implementation, developing high-performance, reusable components• Experience in multi-cloud production environment deployment and maintenance• Strong experience in debugging, performance tuning and optimization for scalability and high availability• Ability to rapidly create functional prototypes• Understand SDLC, use of SCM and continuous integration tools• Strong customer focus and obsession with quality","    We are a team of data scientists, systems and application engineers working on using the power of real time predictive analytics to change the future of ecommerce. And what place better to do it than at the Fortune 1 Company with over a billion consumers? Our team is responsible for applying real time predictive analytics to a wide range of problems spanning the entire ecommerce experience with an initial emphasis on transactional risk and fraud. We are a high-performance team looking for others who will challenge us to become even better: come be the newest member of @Labs here at Walmart Global eCommerce!As a Senior Software Engineer, you will have the opportunity to work closely with our data scientists, business partners and systems engineers to drive the definition and implementation of the next generation of applications and analytics tools for our predictive intelligence platform. We are focused on teamwork, technology, and most importantly the customer. From using traditional web applications to visualization tools to mobile to enable data scientists and business users get actionable insights into extreme data, there are a lot of exciting opportunities! • Develop realtime predictive analysis tools and backend platform• Enable data scientists, business and product partners to fully leverage our predictive analytics platform for very large volumes of data• Demonstrate and clearly articulate reasoning for design and implementation choices• Demonstrate willingness to take feedback and adapt solutions where appropriate• Interact with other team members to incorporate their innovations and vice versa• Participate in design and code reviews• Demonstrate up-to-date expertise in Software Engineering and apply this to the development, execution, and improvement of action plans• Lead and participate in medium- to large-scale projects• Be the consummate team player with a demonstrable ability to learn quickly. Amazing ability to get stuff done.#LI-JC1  "
"job3","890286	programmer analyst isd web developer bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 1 1/2 years experience in information technology within the past 5 years OR 3 1/2 years experience in information technology or related field within the past 5 years OR a Master's degree in Computer Science, Information Technology, or related field.","    Conducts application analysis and design for end usersDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops team member capabilitiesModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates on team projectsProvides and supports the implementation of business solutionsSupports Information Systems Division (ISD) applications "
"job4","880516	systems analyst isd bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 5 years experience in information technology within the past 10 years OR 7 years experience in information technology or related field within the past 10 years.","    Analyzes systems or business processes to design solutions (for example, software, hardware)Conducts business and technical impact analysis of proposed application changesDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops associate capabilitiesModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates on team projectsParticipates, creates, and delivers communication on application solutions to diverse audiences (for example, management, customers, suppliers, technical staff)Provides and supports the implementation of business solutionsSupports Information Systems Division (ISD) teams and applications "
"job5","886329	senior programmer analyst isd bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 3 years experience in information technology within the past 7 years OR 5 years experience in information technology or related field within the past 7 years.","    Creates and delivers presentations on application solutions to diverse audiences (for example, suppliers, technical staff)Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops associate capabilitiesLeads efforts to increase Information Systems Division (ISD) team effectivenessManages product installation upgrades (for example, Information Systems Division (ISD) application solutions, third-party products)Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates in team projectsProvides and supports the implementation of business solutionsProvides complex application solutionsSupports Information Systems Division (ISD) applications "
"job6","861709	programmer analyst isd bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 1 1/2 years experience in information technology within the past 5 years OR 3 1/2 years experience in information technology or related field within the past 5 years OR a Master's degree in Computer Science, Information Technology, or related field.","    Conducts application analysis and design for end usersDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops team member capabilitiesModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates on team projectsProvides and supports the implementation of business solutionsSupports Information Systems Division (ISD) applications "
"job7","868985	developer i isd east reston va""","Bachelor s degree in Computer Science, Information Technology, or related field and 1 year's experience in computer programming, software development or related field OR 3 years' experience in computer programming, software development or related field.","    Our ideal candidate:• Versatile and eager to tackle new problems• Agile, detail oriented, and driven to engineer solid solutions• Superior verbal and written communication skill• Strong organizational skill• Self-starter and team player• Can juggle multiple tasks, work independently and maintain professionalism under pressure• If you want to be part of a dynamic, fast paced and innovative engineering team, join Walmart Technology in Reston, VA. • Our team is searching for a Developer with the following skills:• Design and implement distributed systems in an agile delivery environment• Participate in system design process and solution development• Implement code quality standards• Ensure business needs are met• Promote and support company policies, procedures, mission, values, and standards of ethics and integrity• Troubleshoot and lead the development and implementation of production solutions  "
"job8","870385	developer ii isd east reston va""","Bachelor's degree in Computer Science, Information Technology or related field and 5 years experience in computer programming, software development or related field OR Master's degree in Computer Science, Information Technology or related field and 3 computer programming, software development or related field.","    Design and implement distributed systems in an agile delivery environmentParticipate in system design process and solution developmentImplement code quality standardsEnsure business needs are metPromote and support company policies, procedures, mission, values, and standards of ethics and integrityTroubleshoot and lead the development and implementation of production solutions "
"job9","863207	quality engineering expert bentonville ar""","Bachelor's degree in Information Technology, Computer Science or related field and 5 years experience in information technology or related field within the past 10 years OR 7 years experience in information technology or related field within the past 10 years OR Master's degree in Information Technology, Computer Science or related field and 3 years experience in information technology or related field within the past 10 years.","    Drives continuous improvement within the organizationDrives strategic vendor partnership strategies and work processes for QA areaDrives the execution of multiple business plans and projectsEnsures business needs are being metLeads QA metrics program across functional areasLeads and serves as a subject matter expert on large-scale Quality Assurance (QA) initiatives in multiple functional areas while adhering to the Information Systems Division Life Cycle (ISDLC) and Software QA processes to ensure business effectivenessLeads area-wide process improvement initiatives for QA to drive organizational effectivenessLeads strategic planning of QA initiatives to ensure consistency and effectiveness across functional areasPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides supervision and development opportunities for associates "
"job10","877723	technical expert isd bentonville ar""","Bachelor s degree in Information Technology, Computer Science, or related field and 6 years experience in information technology or related field within the last 10 years OR 8 years experience in information technology or related field within the last 10 years.","    Drives the execution of multiple business plans and projectsEnsures business needs are being metLeads system design process and solution developmentMaintains and advances industry expertiseMentors information technology AssociatesPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides direction and coordination between large projects and the technical execution planProvides supervision and development opportunities for associates "
